flight_date,total_flights
2024-01-01,92
2024-01-02,110
2024-01-03,93
2024-01-04,102
2024-01-05,92
2024-01-06,111
2024-01-07,100
2024-01-08,95
2024-01-09,110
2024-01-10,98
2024-01-11,124
2024-01-12,116
2024-01-13,108
2024-01-14,110
2024-01-15,118
2024-01-16,135
2024-01-17,115
2024-01-18,109
2024-01-19,102
2024-01-20,134
2024-01-21,130
2024-01-22,118
2024-01-23,130
2024-01-24,120
2024-01-25,125
2024-01-26,121
2024-01-27,129
2024-01-28,127
2024-01-29,141
2024-01-30,140
2024-01-31,129
2024-02-01,124
2024-02-02,109
2024-02-03,111
2024-02-04,133
2024-02-05,139
2024-02-06,137
2024-02-07,137
2024-02-08,142
2024-02-09,137
2024-02-10,152
2024-02-11,139
2024-02-12,155
2024-02-13,128
2024-02-14,130
2024-02-15,139
2024-02-16,140
2024-02-17,157
2024-02-18,134
2024-02-19,149
2024-02-20,144
2024-02-21,133
2024-02-22,161
2024-02-23,138
2024-02-24,160
2024-02-25,146
2024-02-26,144
2024-02-27,160
2024-02-28,144
2024-02-29,150
2024-03-01,159
2024-03-02,156
2024-03-03,156
2024-03-04,139
2024-03-05,139
2024-03-06,139
2024-03-07,151
2024-03-08,165
2024-03-09,149
2024-03-10,154
2024-03-11,151
2024-03-12,160
2024-03-13,166
2024-03-14,153
2024-03-15,150
2024-03-16,143
2024-03-17,159
2024-03-18,146
2024-03-19,151
2024-03-20,146
2024-03-21,159
2024-03-22,164
2024-03-23,172
2024-03-24,166
2024-03-25,168
2024-03-26,150
2024-03-27,151
2024-03-28,160
2024-03-29,167
2024-03-30,162
2024-03-31,165
2024-04-01,167
2024-04-02,159
2024-04-03,166
2024-04-04,161
2024-04-05,174
2024-04-06,171
2024-04-07,169
2024-04-08,177
2024-04-09,160
2024-04-10,160
2024-04-11,175
2024-04-12,156
2024-04-13,152
2024-04-14,170
2024-04-15,180
2024-04-16,161
2024-04-17,173
2024-04-18,160
2024-04-19,152
2024-04-20,161
