flight_id,airline_name,departure_city,arrival_city,flight_status,passenger_count,flight_duration_hours,ticket_price_usd,delay_minutes,fuel_consumed_tons,scheduled_departure_date,actual_arrival_date
FL-0001,AirAsia,Manila,Singapore,On Time,124,2.52,183.13,0,13.91,2026-01-01 00:00:00,2026-01-01 02:00:00
FL-0002,PAL Express,Manila,Singapore,On Time,147,7.92,289.87,0,21.72,2026-01-01 04:00:00,2026-01-01 06:00:00
FL-0003,Philippine Airlines,Manila,Singapore,On Time,86,7.85,408.6,15,10.3,2026-01-01 08:00:00,2026-01-01 10:00:00
FL-0004,AirAsia,Clark,Seoul,On Time,128,6.66,584.91,30,13.97,2026-01-01 12:00:00,2026-01-01 14:00:00
FL-0005,AirAsia,Iloilo,Tokyo,On Time,216,5.79,463.82,0,15.75,2026-01-01 16:00:00,2026-01-01 18:00:00
FL-0006,PAL Express,Clark,Bangkok,On Time,162,5.26,561.3,30,18.27,2026-01-01 20:00:00,2026-01-01 22:00:00
FL-0007,Philippine Airlines,Iloilo,Hong Kong,On Time,208,7.13,481.11,0,20.68,2026-01-02 00:00:00,2026-01-02 02:00:00
FL-0008,Philippine Airlines,Clark,Bangkok,On Time,217,3.38,395.86,0,12.9,2026-01-02 04:00:00,2026-01-02 06:00:00
FL-0009,AirAsia,Clark,Bangkok,Delayed,152,4.54,196.01,0,17.92,2026-01-02 08:00:00,2026-01-02 10:00:00
FL-0010,Cebu Pacific,Davao,Tokyo,On Time,125,5.53,433.34,0,8.01,2026-01-02 12:00:00,2026-01-02 14:00:00
FL-0011,AirAsia,Clark,Tokyo,On Time,185,4.17,411.69,15,23.65,2026-01-02 16:00:00,2026-01-02 18:00:00
FL-0012,AirAsia,Cebu,Tokyo,On Time,111,4.28,401.23,15,12.66,2026-01-02 20:00:00,2026-01-02 22:00:00
FL-0013,AirAsia,Davao,Singapore,On Time,85,3.65,344.89,0,19.59,2026-01-03 00:00:00,2026-01-03 02:00:00
FL-0014,AirAsia,Clark,Seoul,Delayed,153,5.17,364.33,0,5.41,2026-01-03 04:00:00,2026-01-03 06:00:00
FL-0015,PAL Express,Manila,Singapore,On Time,193,7.03,267.22,30,9.1,2026-01-03 08:00:00,2026-01-03 10:00:00
FL-0016,Philippine Airlines,Cebu,Seoul,On Time,106,2.81,359.66,45,14.74,2026-01-03 12:00:00,2026-01-03 14:00:00
FL-0017,PAL Express,Cebu,Seoul,On Time,133,7.57,198.78,0,22.57,2026-01-03 16:00:00,2026-01-03 18:00:00
FL-0018,PAL Express,Cebu,Bangkok,On Time,164,5.98,502.59,60,15.55,2026-01-03 20:00:00,2026-01-03 22:00:00
FL-0019,PAL Express,Davao,Bangkok,On Time,206,6.85,192.89,0,23.6,2026-01-04 00:00:00,2026-01-04 02:00:00
FL-0020,AirAsia,Clark,Seoul,On Time,190,5.12,142.48,0,14.68,2026-01-04 04:00:00,2026-01-04 06:00:00
FL-0021,Cebu Pacific,Clark,Seoul,Delayed,94,6.57,318.12,30,14.81,2026-01-04 08:00:00,2026-01-04 10:00:00
FL-0022,Philippine Airlines,Manila,Singapore,On Time,211,1.61,429.15,0,7.39,2026-01-04 12:00:00,2026-01-04 14:00:00
FL-0023,Cebu Pacific,Manila,Singapore,On Time,172,6.82,318.86,0,21.05,2026-01-04 16:00:00,2026-01-04 18:00:00
FL-0024,PAL Express,Cebu,Bangkok,On Time,202,1.76,238.38,0,9.94,2026-01-04 20:00:00,2026-01-04 22:00:00
FL-0025,PAL Express,Manila,Tokyo,On Time,152,7.28,379.09,30,22.99,2026-01-05 00:00:00,2026-01-05 02:00:00
FL-0026,Cebu Pacific,Davao,Seoul,On Time,171,7.95,273.5,30,23.22,2026-01-05 04:00:00,2026-01-05 06:00:00
FL-0027,Cebu Pacific,Clark,Singapore,Delayed,96,3.41,566.43,0,23.87,2026-01-05 08:00:00,2026-01-05 10:00:00
FL-0028,Cebu Pacific,Cebu,Bangkok,Delayed,122,2.87,561.32,0,15.4,2026-01-05 12:00:00,2026-01-05 14:00:00
FL-0029,PAL Express,Manila,Singapore,On Time,200,6.47,351.19,0,18.54,2026-01-05 16:00:00,2026-01-05 18:00:00
FL-0030,PAL Express,Davao,Seoul,Delayed,120,3.14,263.94,0,20.57,2026-01-05 20:00:00,2026-01-05 22:00:00
FL-0031,Philippine Airlines,Davao,Seoul,Cancelled,118,7.13,468.57,0,7.62,2026-01-06 00:00:00,2026-01-06 02:00:00
FL-0032,Philippine Airlines,Manila,Hong Kong,Delayed,192,2.17,118.36,15,17.02,2026-01-06 04:00:00,2026-01-06 06:00:00
FL-0033,PAL Express,Clark,Tokyo,On Time,190,2.32,337.38,0,5.69,2026-01-06 08:00:00,2026-01-06 10:00:00
FL-0034,Cebu Pacific,Manila,Hong Kong,Delayed,126,7.86,268.16,0,14.95,2026-01-06 12:00:00,2026-01-06 14:00:00
FL-0035,Cebu Pacific,Cebu,Bangkok,On Time,142,5.88,560.27,0,8.1,2026-01-06 16:00:00,2026-01-06 18:00:00
FL-0036,Philippine Airlines,Manila,Singapore,Cancelled,189,7.0,106.0,0,8.66,2026-01-06 20:00:00,2026-01-06 22:00:00
FL-0037,PAL Express,Davao,Bangkok,On Time,148,3.61,376.41,60,12.3,2026-01-07 00:00:00,2026-01-07 02:00:00
FL-0038,Philippine Airlines,Manila,Seoul,On Time,122,5.9,470.33,0,13.65,2026-01-07 04:00:00,2026-01-07 06:00:00
FL-0039,Philippine Airlines,Clark,Hong Kong,Delayed,113,5.36,342.51,0,17.46,2026-01-07 08:00:00,2026-01-07 10:00:00
FL-0040,AirAsia,Iloilo,Hong Kong,On Time,119,5.42,142.7,0,6.49,2026-01-07 12:00:00,2026-01-07 14:00:00
FL-0041,AirAsia,Manila,Hong Kong,Cancelled,140,5.94,586.23,0,15.07,2026-01-07 16:00:00,2026-01-07 18:00:00
FL-0042,AirAsia,Clark,Bangkok,Cancelled,141,5.24,359.01,0,8.65,2026-01-07 20:00:00,2026-01-07 22:00:00
FL-0043,Cebu Pacific,Clark,Seoul,On Time,137,4.29,407.09,0,16.48,2026-01-08 00:00:00,2026-01-08 02:00:00
FL-0044,PAL Express,Davao,Singapore,On Time,154,3.29,218.3,0,17.75,2026-01-08 04:00:00,2026-01-08 06:00:00
FL-0045,PAL Express,Clark,Singapore,On Time,95,6.5,341.75,0,16.13,2026-01-08 08:00:00,2026-01-08 10:00:00
FL-0046,PAL Express,Clark,Bangkok,On Time,161,2.97,314.57,0,19.77,2026-01-08 12:00:00,2026-01-08 14:00:00
FL-0047,PAL Express,Clark,Hong Kong,On Time,173,6.0,137.45,0,11.71,2026-01-08 16:00:00,2026-01-08 18:00:00
FL-0048,AirAsia,Clark,Tokyo,Delayed,127,3.02,153.08,60,20.3,2026-01-08 20:00:00,2026-01-08 22:00:00
FL-0049,Cebu Pacific,Cebu,Bangkok,On Time,217,5.56,518.74,0,13.66,2026-01-09 00:00:00,2026-01-09 02:00:00
FL-0050,Cebu Pacific,Cebu,Bangkok,On Time,161,6.36,219.91,0,14.68,2026-01-09 04:00:00,2026-01-09 06:00:00
FL-0051,AirAsia,Davao,Seoul,Cancelled,117,2.92,197.48,0,17.96,2026-01-09 08:00:00,2026-01-09 10:00:00
FL-0052,Cebu Pacific,Manila,Singapore,On Time,206,1.89,352.46,0,5.37,2026-01-09 12:00:00,2026-01-09 14:00:00
FL-0053,AirAsia,Clark,Bangkok,On Time,98,2.35,484.37,15,18.08,2026-01-09 16:00:00,2026-01-09 18:00:00
FL-0054,PAL Express,Manila,Bangkok,Cancelled,142,5.44,130.97,0,17.37,2026-01-09 20:00:00,2026-01-09 22:00:00
FL-0055,AirAsia,Manila,Hong Kong,On Time,156,7.02,388.4,15,11.2,2026-01-10 00:00:00,2026-01-10 02:00:00
FL-0056,PAL Express,Davao,Hong Kong,Delayed,210,1.79,159.61,0,6.72,2026-01-10 04:00:00,2026-01-10 06:00:00
FL-0057,PAL Express,Clark,Tokyo,Cancelled,181,6.27,118.23,0,6.82,2026-01-10 08:00:00,2026-01-10 10:00:00
FL-0058,Philippine Airlines,Clark,Seoul,Cancelled,144,3.72,126.37,15,23.46,2026-01-10 12:00:00,2026-01-10 14:00:00
FL-0059,AirAsia,Iloilo,Tokyo,On Time,199,4.61,517.08,0,18.79,2026-01-10 16:00:00,2026-01-10 18:00:00
FL-0060,Philippine Airlines,Manila,Hong Kong,On Time,170,7.54,158.99,0,7.54,2026-01-10 20:00:00,2026-01-10 22:00:00
FL-0061,AirAsia,Manila,Singapore,On Time,87,3.66,122.58,0,12.13,2026-01-11 00:00:00,2026-01-11 02:00:00
FL-0062,AirAsia,Cebu,Hong Kong,Delayed,152,4.52,318.95,15,16.85,2026-01-11 04:00:00,2026-01-11 06:00:00
FL-0063,Philippine Airlines,Iloilo,Seoul,Delayed,213,1.59,522.0,0,21.71,2026-01-11 08:00:00,2026-01-11 10:00:00
FL-0064,Philippine Airlines,Cebu,Hong Kong,On Time,186,2.03,231.2,30,5.87,2026-01-11 12:00:00,2026-01-11 14:00:00
FL-0065,AirAsia,Cebu,Seoul,On Time,168,3.18,310.86,0,9.73,2026-01-11 16:00:00,2026-01-11 18:00:00
FL-0066,Cebu Pacific,Cebu,Seoul,On Time,118,1.68,119.96,30,22.79,2026-01-11 20:00:00,2026-01-11 22:00:00
FL-0067,PAL Express,Davao,Seoul,On Time,192,5.6,324.54,0,5.18,2026-01-12 00:00:00,2026-01-12 02:00:00
FL-0068,Philippine Airlines,Davao,Seoul,Delayed,107,4.27,388.81,15,9.03,2026-01-12 04:00:00,2026-01-12 06:00:00
FL-0069,PAL Express,Cebu,Seoul,On Time,176,5.06,385.45,0,24.18,2026-01-12 08:00:00,2026-01-12 10:00:00
FL-0070,Cebu Pacific,Iloilo,Singapore,Cancelled,116,2.64,266.21,45,17.27,2026-01-12 12:00:00,2026-01-12 14:00:00
FL-0071,Cebu Pacific,Manila,Tokyo,Delayed,216,3.42,257.77,0,10.23,2026-01-12 16:00:00,2026-01-12 18:00:00
FL-0072,Cebu Pacific,Iloilo,Bangkok,On Time,161,5.81,153.31,0,6.34,2026-01-12 20:00:00,2026-01-12 22:00:00
FL-0073,Philippine Airlines,Clark,Tokyo,On Time,135,7.77,283.4,0,5.56,2026-01-13 00:00:00,2026-01-13 02:00:00
FL-0074,Cebu Pacific,Davao,Seoul,On Time,164,1.83,149.75,0,9.89,2026-01-13 04:00:00,2026-01-13 06:00:00
FL-0075,Philippine Airlines,Manila,Singapore,On Time,81,7.29,483.3,0,22.63,2026-01-13 08:00:00,2026-01-13 10:00:00
FL-0076,Cebu Pacific,Manila,Hong Kong,Delayed,137,5.25,583.14,60,13.32,2026-01-13 12:00:00,2026-01-13 14:00:00
FL-0077,PAL Express,Clark,Singapore,Delayed,186,5.17,585.04,60,19.41,2026-01-13 16:00:00,2026-01-13 18:00:00
FL-0078,PAL Express,Clark,Seoul,Delayed,202,4.75,532.54,0,23.37,2026-01-13 20:00:00,2026-01-13 22:00:00
FL-0079,AirAsia,Cebu,Singapore,On Time,193,1.95,400.4,45,13.16,2026-01-14 00:00:00,2026-01-14 02:00:00
FL-0080,PAL Express,Davao,Singapore,On Time,186,2.08,450.43,0,8.83,2026-01-14 04:00:00,2026-01-14 06:00:00
FL-0081,AirAsia,Davao,Seoul,Delayed,116,5.41,242.6,0,15.34,2026-01-14 08:00:00,2026-01-14 10:00:00
FL-0082,PAL Express,Iloilo,Singapore,On Time,158,3.72,415.39,15,23.16,2026-01-14 12:00:00,2026-01-14 14:00:00
FL-0083,Philippine Airlines,Cebu,Bangkok,On Time,171,7.46,327.82,0,21.09,2026-01-14 16:00:00,2026-01-14 18:00:00
FL-0084,PAL Express,Cebu,Bangkok,On Time,97,4.14,341.01,120,6.32,2026-01-14 20:00:00,2026-01-14 22:00:00
FL-0085,AirAsia,Cebu,Singapore,On Time,177,2.43,478.89,0,18.85,2026-01-15 00:00:00,2026-01-15 02:00:00
FL-0086,AirAsia,Cebu,Hong Kong,On Time,142,6.15,240.96,0,16.44,2026-01-15 04:00:00,2026-01-15 06:00:00
FL-0087,Cebu Pacific,Davao,Seoul,On Time,218,3.41,259.02,0,23.15,2026-01-15 08:00:00,2026-01-15 10:00:00
FL-0088,Philippine Airlines,Davao,Bangkok,Cancelled,83,4.92,562.32,0,7.45,2026-01-15 12:00:00,2026-01-15 14:00:00
FL-0089,PAL Express,Cebu,Hong Kong,On Time,214,6.04,128.11,0,15.68,2026-01-15 16:00:00,2026-01-15 18:00:00
FL-0090,Cebu Pacific,Iloilo,Singapore,On Time,140,7.35,342.82,120,22.59,2026-01-15 20:00:00,2026-01-15 22:00:00
FL-0091,PAL Express,Manila,Hong Kong,On Time,186,6.65,556.4,30,13.2,2026-01-16 00:00:00,2026-01-16 02:00:00
FL-0092,PAL Express,Manila,Tokyo,Delayed,133,5.9,405.18,15,14.64,2026-01-16 04:00:00,2026-01-16 06:00:00
FL-0093,Cebu Pacific,Iloilo,Bangkok,On Time,167,5.92,373.2,0,6.41,2026-01-16 08:00:00,2026-01-16 10:00:00
FL-0094,Cebu Pacific,Cebu,Singapore,On Time,147,7.65,224.87,0,10.56,2026-01-16 12:00:00,2026-01-16 14:00:00
FL-0095,Cebu Pacific,Davao,Seoul,On Time,208,3.42,271.64,0,11.49,2026-01-16 16:00:00,2026-01-16 18:00:00
FL-0096,Cebu Pacific,Manila,Singapore,Delayed,134,1.51,526.02,0,23.9,2026-01-16 20:00:00,2026-01-16 22:00:00
FL-0097,Cebu Pacific,Clark,Seoul,On Time,82,3.27,379.61,0,10.65,2026-01-17 00:00:00,2026-01-17 02:00:00
FL-0098,PAL Express,Clark,Singapore,Delayed,200,2.92,357.37,15,14.22,2026-01-17 04:00:00,2026-01-17 06:00:00
FL-0099,Cebu Pacific,Iloilo,Hong Kong,Cancelled,208,5.8,149.79,0,18.43,2026-01-17 08:00:00,2026-01-17 10:00:00
FL-0100,Philippine Airlines,Cebu,Hong Kong,On Time,181,5.62,108.01,0,8.24,2026-01-17 12:00:00,2026-01-17 14:00:00
FL-0101,AirAsia,Manila,Hong Kong,Delayed,117,5.36,581.84,0,14.73,2026-01-17 16:00:00,2026-01-17 18:00:00
FL-0102,Cebu Pacific,Cebu,Tokyo,On Time,164,1.61,288.49,0,19.77,2026-01-17 20:00:00,2026-01-17 22:00:00
FL-0103,Cebu Pacific,Manila,Seoul,Delayed,212,6.24,401.61,0,22.34,2026-01-18 00:00:00,2026-01-18 02:00:00
FL-0104,PAL Express,Iloilo,Hong Kong,On Time,171,3.6,139.86,45,17.53,2026-01-18 04:00:00,2026-01-18 06:00:00
FL-0105,Cebu Pacific,Iloilo,Tokyo,Delayed,100,5.82,441.56,0,18.38,2026-01-18 08:00:00,2026-01-18 10:00:00
FL-0106,Cebu Pacific,Clark,Seoul,On Time,188,5.12,566.28,30,7.53,2026-01-18 12:00:00,2026-01-18 14:00:00
FL-0107,Cebu Pacific,Cebu,Singapore,On Time,126,3.73,387.83,0,23.92,2026-01-18 16:00:00,2026-01-18 18:00:00
FL-0108,PAL Express,Clark,Tokyo,On Time,163,2.37,163.06,0,7.65,2026-01-18 20:00:00,2026-01-18 22:00:00
FL-0109,Cebu Pacific,Cebu,Bangkok,On Time,162,2.11,390.86,0,20.49,2026-01-19 00:00:00,2026-01-19 02:00:00
FL-0110,AirAsia,Clark,Tokyo,On Time,114,6.9,483.17,30,10.3,2026-01-19 04:00:00,2026-01-19 06:00:00
FL-0111,PAL Express,Davao,Tokyo,On Time,148,7.47,303.21,15,23.67,2026-01-19 08:00:00,2026-01-19 10:00:00
FL-0112,AirAsia,Davao,Seoul,On Time,208,5.72,539.92,0,19.4,2026-01-19 12:00:00,2026-01-19 14:00:00
FL-0113,PAL Express,Davao,Singapore,On Time,219,2.17,424.34,0,20.08,2026-01-19 16:00:00,2026-01-19 18:00:00
FL-0114,Cebu Pacific,Davao,Bangkok,Delayed,106,4.11,549.62,0,9.38,2026-01-19 20:00:00,2026-01-19 22:00:00
FL-0115,AirAsia,Manila,Hong Kong,On Time,135,6.24,411.75,0,13.86,2026-01-20 00:00:00,2026-01-20 02:00:00
FL-0116,PAL Express,Davao,Hong Kong,On Time,102,6.57,165.64,60,17.36,2026-01-20 04:00:00,2026-01-20 06:00:00
FL-0117,Philippine Airlines,Iloilo,Tokyo,On Time,100,2.27,254.85,0,20.4,2026-01-20 08:00:00,2026-01-20 10:00:00
FL-0118,Cebu Pacific,Iloilo,Seoul,On Time,140,1.5,200.9,0,7.08,2026-01-20 12:00:00,2026-01-20 14:00:00
FL-0119,PAL Express,Manila,Seoul,Cancelled,142,6.13,554.41,0,24.25,2026-01-20 16:00:00,2026-01-20 18:00:00
FL-0120,Philippine Airlines,Davao,Hong Kong,On Time,201,3.82,480.2,0,22.8,2026-01-20 20:00:00,2026-01-20 22:00:00
FL-0121,PAL Express,Davao,Bangkok,Delayed,131,3.15,438.2,0,10.41,2026-01-21 00:00:00,2026-01-21 02:00:00
FL-0122,Philippine Airlines,Davao,Singapore,Cancelled,167,1.58,250.48,0,21.46,2026-01-21 04:00:00,2026-01-21 06:00:00
FL-0123,Cebu Pacific,Clark,Bangkok,Delayed,134,5.01,192.02,15,15.37,2026-01-21 08:00:00,2026-01-21 10:00:00
FL-0124,AirAsia,Cebu,Singapore,On Time,125,7.03,478.23,15,14.24,2026-01-21 12:00:00,2026-01-21 14:00:00
FL-0125,Philippine Airlines,Clark,Hong Kong,Delayed,111,7.72,337.08,0,11.29,2026-01-21 16:00:00,2026-01-21 18:00:00
FL-0126,PAL Express,Cebu,Singapore,Cancelled,134,5.18,212.89,30,16.62,2026-01-21 20:00:00,2026-01-21 22:00:00
FL-0127,Cebu Pacific,Davao,Seoul,On Time,175,4.84,408.31,0,19.6,2026-01-22 00:00:00,2026-01-22 02:00:00
FL-0128,Philippine Airlines,Davao,Tokyo,On Time,212,2.05,120.17,0,13.22,2026-01-22 04:00:00,2026-01-22 06:00:00
FL-0129,PAL Express,Clark,Tokyo,On Time,115,5.07,263.09,0,17.58,2026-01-22 08:00:00,2026-01-22 10:00:00
FL-0130,PAL Express,Clark,Hong Kong,On Time,189,3.97,334.28,0,18.99,2026-01-22 12:00:00,2026-01-22 14:00:00
FL-0131,PAL Express,Cebu,Seoul,On Time,185,5.45,173.98,0,19.22,2026-01-22 16:00:00,2026-01-22 18:00:00
FL-0132,Philippine Airlines,Iloilo,Bangkok,On Time,137,4.03,592.33,0,6.04,2026-01-22 20:00:00,2026-01-22 22:00:00
FL-0133,Philippine Airlines,Cebu,Seoul,On Time,118,3.06,204.55,0,22.19,2026-01-23 00:00:00,2026-01-23 02:00:00
